cambiados_updatedBy	new_uid	old_uid	restan_old_uid	total_actual_new_uid
1027	FOaRzcvTuAQu9B19iZGRHCJ1lbY2	zGLBAsWGv6c2olSG1cGXO5v5wxj2	0	1783
349	9smqSvHDPlUOAdWUz4POO1qA27z1	8ABuNBLOqLaEZda8NkoQqO7XsjC2	0	591
287	NbWAIJ7lHHcZUI9eHgy7sKO46jm2	QUgKaurZ9KfArKgeBIzJpGkZ5hg1	0	506
262	5VO5JIFVjoYrYXH9RI3rrPqeUfp1	b9xzEd9OOBP3Dhg1UbNNGBZFoG63	0	445
246	G2b3tlDBBqXY8effLhItIFr0Rpa2	uSq1PxfcxzbifslCHMaZqCZnB273	0	414
170	QXID8zLn7Nar2q48kmHrzQKocHo2	ZNjGAqaJLNYitj7ss9DIX9NTFFh1	0	253
158	Oyg9MAEcWzOicoizw8VPoBM4zjN2	UNhDBcxeNyeJO3ulsBPwrHJ07AI3	0	274
150	6LEJWLllmbPuo7JnVPZRzFxVHB82	TyFz9PjbeneEK18M8GbQmxBysIK2	0	278
116	G4s1hKES9CUt44DXtVP6yOYfJcJ2	6lGbKqU1fIS3zk7u4yNdf5wIpfu2	0	235
102	nhCcNbLPwxNWHc4HQEJSN7sxB9p2	Ap3BdZIxfWbwE8lSitz3X0g1CJe2	0	172
99	DaPWNKqHP6M8Y1N0F6VyXD4itHi1	fAU6FNaRY7ZfNJwPKmm9IG9qPRo1	0	179
57	4YLkjJuPL5bAPxTZJnrqv6PdPu63	RAsTG2GQhqVxrUfp2eszLQP2HhW2	0	106
50	ZuPK4kBWOARSAzBzIvOLmSHMW4t2	R3Ri9w983wQkUmdju1rtvke7lfK2	0	84
